"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Bufonia tenuifolia","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Buglossoides arvensis","Non-crop",0.5,1000,1,0.1,60,2,0.19332590493,0.25,"0","0","0","0","",1,0,0,1,0,0,1,1,1,0
"Bupleurum affine","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Bupleurum commutatum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Calendula arvensis","Non-crop",1,1000,1,0.1,20,6,0.25766025,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,1
"Calystegia sepium","Non-crop",0.5,5000,1,0.1,60,2,0.204932493950135,NA,"1","17.5","17.5","1","",0,0,0,1,1,0,0,0,0,0
"Camelina microcarpa","Crop",0.5,1000,0.1,0.6,20,6,0.1987872093,1,"0","0","0","0","",1,0,0,0,0,0,0,1,1,0
"Camelina rumelica","Crop",0.5,1000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Campanula rapunculoides","Non-crop",0.5,2000,0.1,0.6,60,2,0.7511,NA,"1","17.5","17.5","1","",0,0,0,1,0,0,0,0,0,0
"Capsella bursa-pastoris","Non-crop",1,1000,0.1,0.6,20,6,0.333905720655367,1,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Cardamine hirsuta","Non-crop",1,1000,0.1,0.6,60,2,0.284896616833333,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Carduus acanthoides","Non-crop",0.75,2000,1,0.1,60,2,0.06419,0.25,"0","0","0","0","",0,0,1,0,0,0,0,1,0,0
"Carduus tenuiflorus","Non-crop",0.75,2000,1,0.1,20,6,0.75,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Carex praecox","Non-crop",0.5,1000,0.1,0.6,60,2,0.1605,NA,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Carthamus lanatus","Non-crop",1,2000,1,0.1,20,6,0.103591294117647,0.5,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Caucalis platycarpos","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,1,0
"Centaurea diffusa","Non-crop",1,1000,1,0.1,40,4,0.17927598981125,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Centaurea scabiosa","Non-crop",1,2000,1,0.1,60,2,0.155138317242174,0.25,"1","2.5","2.5","1","",0,0,0,1,0,0,0,0,1,0
"Centaurea solstitialis","Non-crop",1,2000,1,0.1,60,2,0.199715690890909,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Centranthus calcitrapae","Non-crop",0.75,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Cerastium cerastoides","Non-crop",0.5,1000,0.1,0.6,40,4,0.388626378726912,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Cerastium comatum","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cerastium fontanum subsp. vulgare","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,0.25,"1","2.5","2.5","1","",0,0,0,1,1,1,1,0,0,0
"Cerastium glomeratum","Non-crop",1,1000,0.1,0.6,20,6,0.272814497539048,0.25,"0","0","0","0","",0,0,0,0,0,0,0,1,1,1
"Ceratochloa cathartica","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Chenopodiastrum hybridum","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,0,0,0,1,0,0
"Chenopodium album aggr.","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",1,0,1,1,1,1,1,1,1,0
"Chenopodium vulvaria","Non-crop",0.5,1000,0.3,0.3,40,4,0.3149,1,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cichorium intybus","Non-crop",1,2000,1,0.1,60,2,0.187377842465249,1,"0","0","0","0","",1,0,1,0,0,0,0,0,0,0
"Cirsium arvense","Non-crop",1,2000,1,0.1,60,2,0.186265595285725,0.25,"1","2.5","2.5","1","",1,0,1,1,1,1,1,1,1,0
"Clematis flammula","Non-crop",0.5,5000,1,0.1,60,2,0.1513,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Conringia orientalis","Non-crop",0.75,1000,1,0.1,40,4,0.3017384135,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Consolida hispanica","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",1,1,0,0,0,0,0,0,0,0
"Consolida regalis","Non-crop",0.5,2000,1,0.1,40,4,0.2422,1,"0","0","0","0","",1,1,1,1,0,1,1,1,0,0
"Convolvulus arvensis","Non-crop",0.5,2000,1,0.1,60,2,0.248887149746877,1,"1","17.5","17.5","1","",1,0,1,1,1,1,1,1,1,1
"Convolvulus cantabrica","Non-crop",0.5,1000,1,0.1,60,2,0.167411666666667,1,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Coronilla scorpioides","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Corydalis conorhiza","Non-crop",0.5,1000,1,0.1,40,4,0.25161088749,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Corydalis solida","Non-crop",0.5,1000,1,0.1,60,2,0.4307625,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cota austriaca","Non-crop",0.5,1000,0.3,0.3,40,4,0.22314175,NA,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Cota tinctoria","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,NA,"1","2.5","2.5","1","",0,0,1,0,0,0,0,0,0,0
"Crepis setosa","Non-crop",0.5,1000,0.1,0.6,40,4,0.38637425,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Crepis tectorum","Non-crop",0.5,1000,0.3,0.3,60,2,0.204633824955,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
