"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Trifolium echinatum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Trifolium pratense","Non-crop",0.5,1000,1,0.1,60,2,0.217949177330773,NA,"0","0","0","0","",0,0,0,1,0,1,1,0,0,0
"Trifolium repens","Non-crop",0.5,1000,1,0.1,60,2,0.235708379636767,1,"1","2.5","2.5","1","",0,0,0,1,1,1,1,1,0,0
"Trifolium scabrum","Non-crop",0.5,1000,1,0.1,20,6,0.16573788307,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Trinia glauca","Non-crop",0.5,1000,1,0.1,60,2,0.1368,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Tripleurospermum maritimum aggr.","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,0,0
"Triticosecale rimpaui","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Triticum aestivum","Crop",0.5,2000,1,0.1,60,2,0.222846656305865,1,"0","0","0","0","",0,0,0,1,0,1,1,1,1,0
"Tropaeolum majus","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Tussilago farfara","Non-crop",0.5,1000,0.3,0.3,60,2,0.1859,0.25,"1","2.5","2.5","1","",0,0,0,1,0,1,0,0,0,0
"Urtica dioica","Non-crop",0.5,5000,0.1,0.6,60,2,0.264095272469641,0.25,"1","17.5","17.5","1","",0,0,0,0,1,0,0,0,0,0
"Urtica urens","Non-crop",0.5,1000,0.3,0.3,60,2,0.505827272727273,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Vaccaria hispanica","Non-crop",0.75,2000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Valerianella dentata","Non-crop",0.5,1000,1,0.1,40,4,0.1943,NA,"0","0","0","0","",0,0,0,1,0,0,0,0,0,0
"Valerianella microcarpa","Non-crop",1,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Verbascum pulverulentum","Non-crop",1,2000,0.1,0.6,60,2,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Verbena officinalis","Non-crop",0.5,2000,0.3,0.3,60,2,0.14925,0.5,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Veronica agrestis","Non-crop",0.5,1000,0.3,0.3,40,4,0.5523,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Veronica arvensis","Non-crop",0.5,1000,0.1,0.6,20,6,0.3453051482225,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,1,1
"Veronica hederifolia","Non-crop",0.5,1000,1,0.1,40,4,0.322069230769231,NA,"0","0","0","0","",1,0,0,1,0,0,1,1,1,0
"Veronica persica","Non-crop",0.5,1000,1,0.1,40,4,0.346749592502685,0.25,"0","0","0","0","",0,0,0,1,1,0,1,1,1,1
"Veronica polita","Non-crop",0.5,1000,0.3,0.3,40,4,0.3118,0.25,"0","0","0","0","",0,0,0,1,0,0,1,1,1,0
"Veronica triphyllos","Non-crop",0.5,1000,0.3,0.3,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,1,0
"Veronica verna","Non-crop",0.5,1000,0.1,0.6,20,6,0.39919546711,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Vicia cracca","Crop",0.5,2000,1,0.1,60,2,0.293696253256181,1,"1","17.5","17.5","1","",0,0,0,1,0,1,0,0,0,0
"Vicia grandiflora","Crop",0.5,2000,1,0.1,60,2,0.29995,1,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Vicia hirsuta","Crop",0.5,1000,1,0.1,20,6,0.1816627529,1,"0","0","0","0","",1,0,0,1,1,1,1,1,0,0
"Vicia lutea","Crop",0.5,1000,1,0.1,60,2,0.21565769734,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Vicia pannonica","Crop",0.5,1000,1,0.1,60,2,0.5,1,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Vicia peregrina","Crop",0.5,1000,1,0.1,60,2,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Vicia sativa","Crop",0.5,2000,1,0.1,60,2,0.216599073679025,1,"0","0","0","0","",0,0,0,1,1,1,1,1,1,0
"Vicia sepium","Crop",0.5,2000,1,0.1,60,2,0.36870228,1,"1","17.5","17.5","1","",0,0,0,1,0,0,0,0,0,0
"Vicia tetrasperma","Crop",0.5,1000,1,0.1,20,6,0.40186,1,"0","0","0","0","",0,0,0,1,0,0,1,1,0,0
"Vicia villosa","Crop",0.5,2000,1,0.1,60,2,0.32430579856842,1,"0","0","0","0","",0,0,0,1,0,1,0,1,1,0
"Viola arvensis","Non-crop",0.5,1000,0.3,0.3,40,4,0.492844166666667,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Viola tricolor aggr.","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,0,1,0,0,0,0
"Vulpia myuros","Non-crop",0.5,1000,0.3,0.3,20,6,0.098930470622381,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Xanthium orientale","Non-crop",0.5,2000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Xanthium spinosum","Non-crop",0.5,2000,1,0.1,60,2,0.13353,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Xanthium strumarium","Non-crop",0.5,2000,1,0.1,40,4,0.159840538036741,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Xeranthemum annuum","Non-crop",0.5,1000,1,0.1,40,4,0.20273,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Xeranthemum cylindraceum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Zea mays","Crop",0.5,5000,1,0.1,40,4,0.221577976932089,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
